2024-05-02 09:57:45.733195 - securitiesToTrade --> [(8, '869808'), (8, '870766'), (2, '36610'), (2, '36622'), (2, '36752'), (2, '36801'), (2, '43771'), (2, '43797'), (2, '41302'), (2, '41312'), (8, '869576'), (8, '869631')]

2024-05-02 10:15:16.812429 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869808, 'LTP': '357.30', 'LTT': '10:15:15'}

2024-05-02 10:15:16.812429 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 870766, 'LTP': '418.25', 'LTT': '10:15:15'}

2024-05-02 10:15:16.812429 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 36610, 'LTP': '90.20', 'LTT': '10:15:13'}

2024-05-02 10:15:16.812429 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 36622, 'LTP': '69.60', 'LTT': '10:15:15'}

2024-05-02 10:15:16.812429 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 36752, 'LTP': '160.65', 'LTT': '10:15:16'}

2024-05-02 10:15:16.812429 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 36801, 'LTP': '168.95', 'LTT': '10:15:16'}

2024-05-02 10:15:16.820494 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 43771, 'LTP': '488.05', 'LTT': '10:15:16'}

2024-05-02 10:15:16.820494 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 43797, 'LTP': '417.35', 'LTT': '10:15:16'}

2024-05-02 10:15:16.820494 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 41302, 'LTP': '105.50', 'LTT': '10:15:16'}

2024-05-02 10:15:16.820494 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 41312, 'LTP': '58.35', 'LTT': '10:15:16'}

2024-05-02 10:15:16.820494 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869576, 'LTP': '449.80', 'LTT': '10:15:16'}

2024-05-02 10:15:16.820494 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869631, 'LTP': '290.35', 'LTT': '10:15:16'}

2024-05-02 10:15:16.838338 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 41312, 'LTP': '58.15', 'LTT': '10:15:17'}

2024-05-02 10:15:16.909949 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869631, 'LTP': '289.55', 'LTT': '10:15:16'}

2024-05-02 10:15:16.974204 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 36801, 'LTP': '167.80', 'LTT': '10:15:17'}

2024-05-02 10:15:17.150293 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869808, 'LTP': '361.00', 'LTT': '10:15:17'}

2024-05-02 10:15:17.158303 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 41302, 'LTP': '107.15', 'LTT': '10:15:17'}

2024-05-02 10:15:17.283645 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 43797, 'LTP': '415.20', 'LTT': '10:15:17'}

2024-05-02 10:15:17.693265 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869631, 'LTP': '285.00', 'LTT': '10:15:17'}

2024-05-02 10:15:17.835256 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 41312, 'LTP': '57.35', 'LTT': '10:15:18'}

2024-05-02 10:15:17.936232 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869631, 'LTP': '286.30', 'LTT': '10:15:18'}

2024-05-02 10:15:17.971409 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 36801, 'LTP': '167.25', 'LTT': '10:15:17'}

2024-05-02 10:15:18.035740 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 43771, 'LTP': '490.15', 'LTT': '10:15:18'}

2024-05-02 10:15:18.167069 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 870766, 'LTP': '410.30', 'LTT': '10:15:18'}

2024-05-02 10:15:18.194638 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 36622, 'LTP': '69.30', 'LTT': '10:15:17'}

2024-05-02 10:15:18.210633 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 36752, 'LTP': '160.85', 'LTT': '10:15:17'}

2024-05-02 10:15:18.311863 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869576, 'LTP': '457.65', 'LTT': '10:15:18'}

2024-05-02 10:15:18.484098 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 43797, 'LTP': '414.75', 'LTT': '10:15:18'}

2024-05-02 10:15:18.576839 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869576, 'LTP': '455.35', 'LTT': '10:15:18'}

2024-05-02 10:15:18.763712 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869631, 'LTP': '285.10', 'LTT': '10:15:18'}

2024-05-02 10:15:18.810487 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 36610, 'LTP': '90.35', 'LTT': '10:15:18'}

2024-05-02 10:15:18.841157 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 41312, 'LTP': '56.60', 'LTT': '10:15:19'}

2024-05-02 10:15:18.890399 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 43797, 'LTP': '414.25', 'LTT': '10:15:19'}

2024-05-02 10:15:18.924090 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 870766, 'LTP': '415.15', 'LTT': '10:15:18'}

2024-05-02 10:15:18.986388 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 36801, 'LTP': '167.35', 'LTT': '10:15:18'}

2024-05-02 10:15:18.996558 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869631, 'LTP': '285.00', 'LTT': '10:15:19'}

2024-05-02 10:15:19.068643 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 43771, 'LTP': '491.55', 'LTT': '10:15:19'}

2024-05-02 10:15:19.168062 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 41302, 'LTP': '109.35', 'LTT': '10:15:19'}

2024-05-02 10:15:19.382713 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869576, 'LTP': '454.30', 'LTT': '10:15:19'}

2024-05-02 10:15:19.585855 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 36622, 'LTP': '69.45', 'LTT': '10:15:18'}

2024-05-02 10:15:19.795059 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869631, 'LTP': '284.40', 'LTT': '10:15:19'}

2024-05-02 10:15:19.819061 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 36752, 'LTP': '162.00', 'LTT': '10:15:19'}

2024-05-02 10:15:19.852085 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 41312, 'LTP': '56.80', 'LTT': '10:15:20'}

2024-05-02 10:15:19.885094 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 43797, 'LTP': '413.90', 'LTT': '10:15:20'}

2024-05-02 10:15:19.976727 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 36801, 'LTP': '167.25', 'LTT': '10:15:20'}

2024-05-02 10:15:20.044265 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869631, 'LTP': '285.70', 'LTT': '10:15:20'}

2024-05-02 10:15:20.184420 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 41302, 'LTP': '109.65', 'LTT': '10:15:20'}

2024-05-02 10:15:20.278386 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 43771, 'LTP': '493.50', 'LTT': '10:15:20'}

2024-05-02 10:15:20.420043 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 36610, 'LTP': '90.45', 'LTT': '10:15:20'}

2024-05-02 10:15:20.622007 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 43771, 'LTP': '492.25', 'LTT': '10:15:20'}

2024-05-02 10:15:20.855089 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869631, 'LTP': '286.50', 'LTT': '10:15:20'}

2024-05-02 10:15:20.888213 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 43797, 'LTP': '413.05', 'LTT': '10:15:21'}

2024-05-02 10:15:20.979719 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 36801, 'LTP': '166.85', 'LTT': '10:15:21'}

2024-05-02 10:15:21.038089 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 870766, 'LTP': '411.85', 'LTT': '10:15:20'}

2024-05-02 10:15:21.104128 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869631, 'LTP': '286.35', 'LTT': '10:15:21'}

2024-05-02 10:15:21.178093 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 41302, 'LTP': '109.25', 'LTT': '10:15:21'}

2024-05-02 10:15:21.424489 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 36752, 'LTP': '162.30', 'LTT': '10:15:21'}

2024-05-02 10:15:21.680178 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 43771, 'LTP': '492.20', 'LTT': '10:15:21'}

2024-05-02 10:15:21.905910 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 41312, 'LTP': '57.20', 'LTT': '10:15:22'}

2024-05-02 10:15:21.912427 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869631, 'LTP': '287.70', 'LTT': '10:15:21'}

2024-05-02 10:15:21.983039 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 36801, 'LTP': '167.15', 'LTT': '10:15:22'}

2024-05-02 10:15:21.999037 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 36610, 'LTP': '90.10', 'LTT': '10:15:21'}

2024-05-02 10:15:22.078939 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 870766, 'LTP': '409.30', 'LTT': '10:15:21'}

2024-05-02 10:15:22.147633 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869631, 'LTP': '287.70', 'LTT': '10:15:22'}

2024-05-02 10:15:22.179627 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 41302, 'LTP': '109.10', 'LTT': '10:15:22'}

2024-05-02 10:15:22.588828 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869576, 'LTP': '455.55', 'LTT': '10:15:22'}

